0,1,2,3,4,5,6,7
0.24090269,0.50388175,0.20009199,-0.2374739,-0.21176487,0.42122588,-0.13323689,-0.15874082
-0.26057744,0.24504855,-0.1598615,0.22752145,-0.25462455,-0.14607525,0.41631642,0.56065387
0.41650236,-0.23685837,0.068693876,0.4528443,3.7206192,-0.37857938,-0.09740931,0.19726133
-0.20609504,-0.06266141,0.33954418,-0.29052186,4.195589,-0.13993949,0.7548117,-0.113933325
2.9402058,-0.20204198,4.7359285,0.15320042,-0.1785388,0.08750987,0.06603688,-0.1348989
3.3480296,1.843744,-0.09783918,0.6642347,0.4192324,-0.254717,0.1162684,-0.171668
-0.15360832,-0.15122879,0.2859573,0.5844373,-0.17853981,-0.17852962,2.3507028,1.3606784
0.5426749,-0.15796518,-0.23859978,-0.19490737,0.21254945,0.4334689,1.1203709,0.52837527
4.015579,0.4466973,-0.16263431,0.15004641,1.2550927,2.6040921,-0.13520217,1.728598
1.7154511,0.22877783,-0.11314589,0.7422303,0.87070465,4.46705,0.28845772,-0.19570184
3.1811035,-0.17365634,0.16021597,-0.28154057,0.117189705,6.8759856,-0.1638881,0.19172668
7.7581425,0.22502398,0.71413136,0.17428589,0.61951536,2.4452386,0.011789203,-0.07687467
3.62171,0.2249398,1.4506516,0.11410403,-0.07442498,2.8254385,0.6547461,-0.15288651
6.8002515,0.84242886,2.3848658,0.34812498,0.50787854,0.41101846,-0.113882065,0.20473659
2.3023653,3.5896244,2.2268538,0.25427946,1.0331156,0.15512413,-0.12050754,-0.19227189
-0.14880288,0.11664152,0.15438744,5.929712,1.1518304,4.7741637,0.11389601,4.004175
-0.2690472,0.2603498,0.15049669,12.4692545,0.57699263,2.4824612,-0.40707856,1.3033421
-0.22937232,-0.07047975,0.1621027,3.8839698,0.14094603,2.5323071,-0.27295882,1.0165634
-0.12527812,-0.10161179,1.0917948,3.1426415,-0.21197939,4.0211225,-0.18732697,5.6509123
-0.17176962,-0.015657783,6.0985036,1.5612156,0.15477282,3.5859964,-0.1448915,1.0269256
-0.20752645,3.0150013,1.4293685,1.6418844,0.20797127,5.506619,-0.111581445,-0.13122284
0.6107286,1.7338077,1.3687584,0.006451905,-0.23616916,6.5023494,-0.096444726,2.1457968
0.2584406,1.6568203,6.225411,0.96421444,-0.1730935,5.651329,0.09058154,0.08285862
0.15186393,7.4907784,1.34485,0.19769186,-0.2964056,3.7420807,0.14439797,-0.168526
0.28540993,2.7499528,7.059195,-0.28837448,-0.22922903,7.5362043,0.23941767,0.32801783
-0.1334346,-0.20831513,-0.31513757,6.2407374,0.3289724,-0.14857066,4.940217,1.1889379
-0.33514738,-0.1883089,-0.2581312,8.764447,-0.21012658,0.2282632,2.331876,0.5778745
-0.1488297,-0.14487624,-0.16436458,8.742896,0.10668826,-0.09961659,4.441805,0.7056035
0.29147822,-0.14765853,-0.16892111,-0.348203,5.983327,7.70076,2.3022878,-0.14100868
-0.24737889,-0.1417504,2.8138883,-0.37304986,3.578404,2.3419645,1.0240146,-0.20940834
-0.20635074,-0.29888678,0.3179652,-0.319452,4.2258005,8.044389,1.7156401,-0.13737935
-0.14783472,1.6158004,12.239577,-0.32346445,2.9752855,-0.21047163,3.0640407,-0.19060248
-0.14160687,8.503091,2.7979522,-0.29954135,1.852314,-0.17791694,3.5041597,0.15088952
0.25312436,2.562361,2.1245625,-0.360901,3.3913987,-0.24744183,4.2496758,-0.12412226
-0.14220476,0.7355734,2.187081,-0.35212553,1.4223561,-0.43265545,7.9434557,-0.16913909
-0.16886109,3.2444515,2.205069,-0.35682583,5.521153,0.18914372,4.450488,-0.113137126
3.0120637,-0.17147851,9.967406,3.578957,-0.23641557,0.68236977,4.3286066,-0.29143453
4.7660885,-0.41232276,2.0189862,5.6049643,0.26534683,0.16739285,1.1260644,-0.12127417
10.711239,-0.14875698,1.5475419,3.026546,-0.16851681,-0.08613813,0.36984205,-0.2046358
4.1815066,-0.20684606,1.9378883,4.2644763,-0.1414597,1.6048751,3.1119912,-0.15419525
1.2570381,-0.1527496,-0.16735244,1.2985857,3.1724703,1.4410398,0.6724217,4.983099
2.1440868,-0.17349356,-0.16145843,2.7482905,2.4370162,-0.14164227,0.90958726,1.4072554
0.47082195,-0.19294685,-0.11799836,0.6906678,0.45480663,-0.06657547,0.26455456,7.0942507
-0.13013518,0.14759463,-0.17737228,0.3302163,0.3413685,0.15089506,2.7079854,3.3225217
1.4976832,0.9280091,-0.17350167,0.8462769,-0.26114804,-0.30327523,7.703623,2.6301522
-0.18015152,0.40520376,-0.34556234,0.3033477,-0.20037377,1.5769566,6.2731724,2.6256995
0.16384214,0.7973771,-0.16483688,0.55035853,-0.35279137,0.12961769,10.383752,2.0613146
-0.13201696,1.0523543,-0.20940375,2.0877023,-0.35402256,-0.23245496,1.2903252,13.85223
-0.22462702,5.6470227,-0.19735646,2.483591,-0.37032217,1.1233975,2.6877868,1.9527403
1.4997789,4.702713,0.46680647,0.35217053,-0.2203967,1.167788,1.5676405,2.111922
0.4521108,6.578255,0.31133315,0.5945479,-0.19651586,0.7128861,0.85690767,0.5245027
-0.11969805,11.39343,-0.15224445,-0.36631918,-0.24111801,0.15050262,0.2634166,7.869156
0.3362869,4.025612,-0.14355373,-0.30842716,-0.29806095,-0.34269655,1.2406383,7.4817543
-0.13516653,3.97825,-0.16522586,0.1151019,-0.18957007,-0.15324718,4.873063,6.3600435
-0.14753097,3.8976345,-0.18772215,-0.2971788,-0.20891201,0.2497653,1.1284853,10.194894
2.514268,1.0225494,1.0960124,5.4152007,4.596557,-0.1583969,-0.17986572,0.17899734
6.42782,5.9509435,-0.110364854,2.4243672,3.6354744,-0.14703333,-0.3204798,-0.18231046
1.490436,0.7847295,-0.10011971,6.999394,1.8274994,-0.14584708,-0.15982622,-0.13163996
3.580729,1.6028304,-0.15286607,3.1169457,2.7632127,0.14226925,-0.1563034,0.5939009
-0.15116554,-0.15176511,-0.14258736,-0.31848574,11.547188,0.88912463,2.1271427,2.0630693
-0.16693181,0.19142348,-0.19509768,-0.31406575,7.0143127,0.8625317,8.226494,-0.17823082
-0.1844272,0.8789135,-0.15169418,-0.3811193,6.007024,0.97694004,0.9902336,0.09549081
-0.09796679,0.14140666,1.2023741,-0.2900387,1.1237556,0.74332076,1.3225908,1.0547922
0.25489512,2.0157344,0.5522748,-0.3122146,1.4149159,0.118606806,-0.20818597,1.8410363
0.34665686,0.26521727,2.3786159,-0.21084225,0.20703715,-0.03219074,0.5381893,2.4045684
